timestamp,alert,classification,priority,protocol,src_ip,src_port,dest_ip,dest_port,line_no
03/17/2025-22:48:07.698063,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.178,57621,10.22.67.255,57621,1
03/17/2025-22:48:11.711782,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.184,57621,10.22.67.255,57621,2
03/17/2025-22:48:12.479921,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.116,57621,10.22.67.255,57621,3
03/17/2025-22:48:21.268519,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.87,57621,10.22.67.255,57621,4
03/17/2025-22:48:24.991240,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.64.204,57621,10.22.67.255,57621,5
03/17/2025-22:48:32.319022,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.64.173,57621,10.22.67.255,57621,6
03/17/2025-22:48:39.830683,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.180,57621,10.22.67.255,57621,7
03/17/2025-22:48:42.601984,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.91,57621,10.22.67.255,57621,8
03/17/2025-22:48:43.470211,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.125,57621,10.22.67.255,57621,9
03/17/2025-22:48:43.902146,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,180.149.60.12,443,10.22.64.192,37117,10
03/17/2025-22:48:43.902146,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,180.149.60.12,443,10.22.64.192,37117,11
03/17/2025-22:48:44.970095,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.195,57621,10.22.67.255,57621,12
03/17/2025-22:48:46.829249,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.236,57621,10.22.67.255,57621,13
03/17/2025-22:49:04.319806,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.6,57621,10.22.67.255,57621,14
03/17/2025-22:49:07.633488,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.83,57621,10.22.67.255,57621,15
03/17/2025-22:49:19.469764,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.181,57621,10.22.67.255,57621,16
03/17/2025-22:49:24.544901,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.204,57621,10.22.67.255,57621,17
03/17/2025-22:49:27.132054,[1:2100498:7] GPL ATTACK_RESPONSE id check returned root,Potentially Bad Traffic,2,TCP,18.161.246.76,80,10.22.64.192,36734,18
03/17/2025-22:49:27.684775,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.223,57621,10.22.67.255,57621,19
03/17/2025-22:49:29.205681,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.82,57621,10.22.67.255,57621,20
03/17/2025-22:49:38.263593,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.64.146,57621,10.22.67.255,57621,21
03/17/2025-22:49:39.444362,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,180.149.60.12,443,10.22.64.192,42519,22
03/17/2025-22:49:39.444362,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,180.149.60.12,443,10.22.64.192,42519,23
03/17/2025-22:49:39.470310,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,180.149.60.12,443,10.22.64.192,42519,24
03/17/2025-22:49:39.470310,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,180.149.60.12,443,10.22.64.192,42519,25
03/17/2025-22:49:49.898882,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.120,57621,10.22.67.255,57621,26
03/17/2025-22:49:51.529155,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.162,57621,10.22.67.255,57621,27
03/17/2025-22:50:35.692498,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.180,57621,10.22.67.255,57621,28
03/17/2025-22:50:37.297961,[1:2001219:20] ET SCAN Potential SSH Scan,Attempted Information Leak,2,TCP,10.21.236.98,51886,10.22.64.192,22,29
03/17/2025-22:50:37.364283,[1:2006546:9] ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack,Attempted Administrator Privilege Gain,1,TCP,10.21.236.98,51886,10.22.64.192,22,30
03/17/2025-22:50:54.566029,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,34.117.188.166,443,10.22.64.192,59956,31
03/17/2025-22:50:54.566029,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,34.117.188.166,443,10.22.64.192,59956,32
03/17/2025-22:50:54.568437,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,34.117.188.166,443,10.22.64.192,59956,33
03/17/2025-22:50:54.574437,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,34.117.188.166,443,10.22.64.192,59956,34
03/17/2025-22:50:54.586482,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,34.117.188.166,443,10.22.64.192,59956,35
03/17/2025-22:50:59.800916,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.17,57621,10.22.67.255,57621,36
03/17/2025-22:51:11.664833,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42130,37
03/17/2025-22:51:11.664833,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42130,38
03/17/2025-22:51:11.665314,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42130,10.22.64.192,22,39
03/17/2025-22:51:11.674197,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42146,40
03/17/2025-22:51:11.674197,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42146,41
03/17/2025-22:51:11.674603,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42146,10.22.64.192,22,42
03/17/2025-22:51:11.688088,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42154,43
03/17/2025-22:51:11.688088,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42154,44
03/17/2025-22:51:11.688509,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42154,10.22.64.192,22,45
03/17/2025-22:51:11.698370,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42170,46
03/17/2025-22:51:11.698370,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42170,47
03/17/2025-22:51:11.699008,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42170,10.22.64.192,22,48
03/17/2025-22:51:11.702782,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42176,49
03/17/2025-22:51:11.702782,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42176,50
03/17/2025-22:51:11.703221,[1:2006546:9] ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack,Attempted Administrator Privilege Gain,1,TCP,10.21.236.98,42176,10.22.64.192,22,51
03/17/2025-22:51:11.703221,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42176,10.22.64.192,22,52
03/17/2025-22:51:11.712426,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42182,53
03/17/2025-22:51:11.712426,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42182,54
03/17/2025-22:51:11.712956,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42182,10.22.64.192,22,55
03/17/2025-22:51:11.716464,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42190,56
03/17/2025-22:51:11.716464,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42190,57
03/17/2025-22:51:11.717090,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42190,10.22.64.192,22,58
03/17/2025-22:51:11.726466,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42206,59
03/17/2025-22:51:11.726466,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42206,60
03/17/2025-22:51:11.726896,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42206,10.22.64.192,22,61
03/17/2025-22:51:11.730361,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42214,62
03/17/2025-22:51:11.730361,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42214,63
03/17/2025-22:51:11.730791,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42214,10.22.64.192,22,64
03/17/2025-22:51:11.740679,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42216,65
03/17/2025-22:51:11.740679,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,42216,66
03/17/2025-22:51:11.741138,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,42216,10.22.64.192,22,67
03/17/2025-22:51:18.076386,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,46872,68
03/17/2025-22:51:18.076386,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,46872,69
03/17/2025-22:51:18.076856,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,46872,10.22.64.192,22,70
03/17/2025-22:51:18.100334,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,46880,71
03/17/2025-22:51:18.100334,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,46880,72
03/17/2025-22:51:18.100739,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,46880,10.22.64.192,22,73
03/17/2025-22:51:18.104407,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,46888,74
03/17/2025-22:51:18.104407,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,46888,75
03/17/2025-22:51:18.104935,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,46888,10.22.64.192,22,76
03/17/2025-22:51:18.115178,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,46890,77
03/17/2025-22:51:18.115178,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.22.64.192,22,10.21.236.98,46890,78
03/17/2025-22:51:18.115602,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,10.21.236.98,46890,10.22.64.192,22,79
03/17/2025-22:52:23.031461,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.121,57621,10.22.67.255,57621,80
03/17/2025-22:53:50.585102,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,10.22.64.192,40834,157.240.16.52,443,81
03/17/2025-22:53:50.610055,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,157.240.16.52,443,10.22.64.192,40834,82
03/17/2025-22:53:50.610055,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,157.240.16.52,443,10.22.64.192,40834,83
03/17/2025-22:53:50.663593,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,10.22.64.192,40834,157.240.16.52,443,84
03/17/2025-22:53:54.315331,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,10.22.64.192,59569,163.70.143.60,443,85
03/17/2025-22:53:54.315723,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,10.22.64.192,59569,163.70.143.60,443,86
03/17/2025-22:53:54.367028,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,163.70.143.60,443,10.22.64.192,59569,87
03/17/2025-22:53:54.367028,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,163.70.143.60,443,10.22.64.192,59569,88
03/17/2025-22:53:54.471547,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,10.22.64.192,59569,163.70.143.60,443,89
03/17/2025-22:54:00.793038,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.178,57621,10.22.67.255,57621,90
03/17/2025-22:54:03.455002,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.180,57621,10.22.67.255,57621,91
03/17/2025-22:54:03.885466,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.64.204,57621,10.22.67.255,57621,92
03/17/2025-22:54:06.642622,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.91,57621,10.22.67.255,57621,93
03/17/2025-22:54:07.193822,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.116,57621,10.22.67.255,57621,94
03/17/2025-22:54:07.275819,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.64.173,57621,10.22.67.255,57621,95
03/17/2025-22:54:09.555927,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.236,57621,10.22.67.255,57621,96
03/17/2025-22:54:22.501082,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.83,57621,10.22.67.255,57621,97
03/17/2025-22:54:26.111308,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.195,57621,10.22.67.255,57621,98
03/17/2025-22:54:31.156591,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.87,57621,10.22.67.255,57621,99
03/17/2025-22:54:36.566955,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,39003,100
03/17/2025-22:54:36.566955,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,39003,101
03/17/2025-22:54:36.567914,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,39003,102
03/17/2025-22:54:36.569184,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,59823,103
03/17/2025-22:54:36.569184,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,59823,104
03/17/2025-22:54:36.569184,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,39003,105
03/17/2025-22:54:36.569667,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,59823,106
03/17/2025-22:54:36.574303,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,39003,107
03/17/2025-22:54:36.574502,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,59823,108
03/17/2025-22:54:36.583028,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,59823,109
03/17/2025-22:54:36.584569,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,39003,110
03/17/2025-22:54:36.600478,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.196.174,443,10.22.64.192,59823,111
03/17/2025-22:54:43.391804,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.181,57621,10.22.67.255,57621,112
03/17/2025-22:54:43.504653,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.223,57621,10.22.67.255,57621,113
03/17/2025-22:54:44.298619,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.125,57621,10.22.67.255,57621,114
03/17/2025-22:54:51.160443,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.204,57621,10.22.67.255,57621,115
03/17/2025-22:54:54.314359,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,142.250.205.65,443,10.22.64.192,58536,116
03/17/2025-22:54:54.314359,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,142.250.205.65,443,10.22.64.192,58536,117
